Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,source_league,source_season,source_provider
BUNDESLIGA,05/02/2022,Arminia Bielefeld,Borussia Mönchengladbach,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,05/02/2022,FC Augsburg,1. FC Union Berlin,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,05/02/2022,FC Bayern München,RB Leipzig,3,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,05/02/2022,VfB Stuttgart,Eintracht Frankfurt,2,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,06/02/2022,Borussia Dortmund,Bayer 04 Leverkusen,2,5,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,06/02/2022,VfL Wolfsburg,SpVgg Greuther Fürth 1903,4,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/02/2022,RB Leipzig,1. FC Köln,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/02/2022,Bayer 04 Leverkusen,VfB Stuttgart,4,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/02/2022,Borussia Mönchengladbach,FC Augsburg,3,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/02/2022,Eintracht Frankfurt,VfL Wolfsburg,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/02/2022,SC Freiburg,1. FSV Mainz 05,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/02/2022,SpVgg Greuther Fürth 1903,Hertha BSC,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/02/2022,VfL Bochum 1848,FC Bayern München,4,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,13/02/2022,1. FC Union Berlin,Borussia Dortmund,0,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,13/02/2022,TSG 1899 Hoffenheim,Arminia Bielefeld,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,18/02/2022,1. FSV Mainz 05,Bayer 04 Leverkusen,3,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,19/02/2022,1. FC Köln,Eintracht Frankfurt,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,19/02/2022,Arminia Bielefeld,1. FC Union Berlin,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,19/02/2022,FC Augsburg,SC Freiburg,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,19/02/2022,VfB Stuttgart,VfL Bochum 1848,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,19/02/2022,VfL Wolfsburg,TSG 1899 Hoffenheim,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/02/2022,Borussia Dortmund,Borussia Mönchengladbach,6,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/02/2022,FC Bayern München,SpVgg Greuther Fürth 1903,4,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/02/2022,Hertha BSC,RB Leipzig,1,6,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,25/02/2022,TSG 1899 Hoffenheim,VfB Stuttgart,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,26/02/2022,1. FC Union Berlin,1. FSV Mainz 05,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,26/02/2022,Bayer 04 Leverkusen,Arminia Bielefeld,3,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,26/02/2022,Borussia Mönchengladbach,VfL Wolfsburg,2,2,D,BUNDESLIGA,2021-22,openfootball
